trip_id,route_id,service_id,trip_headsign,direction_id,shape_id
787797,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787798,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787799,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787800,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787787,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787801,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787788,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787789,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787790,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787802,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787803,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787804,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787805,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787806,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787807,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787808,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787809,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787810,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787811,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787812,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787813,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787814,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787815,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787816,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787817,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787818,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787819,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787820,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787821,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787822,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787823,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787824,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787825,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787826,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787827,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787828,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787829,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787791,MB,ver2l_26.pex,Basauri,1,KAB_BSR
787792,MB,ver2l_26.pex,Kabiezes,0,BSR_KAB
787830,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
787831,MB,ver2l_26.pex,Etxebarri,1,PLE_ETX
787832,MB,ver2l_26.pex,Plentzia,0,ETX_PLE
